arch,cpu_clock,isa,l1_size,l2_shared_by_cores,l2_size,l3_size,ld_shared_by_cores,mem_clock,mem_size,mem_type,no_of_threads,num-cpus,system_name,bus_speed_qpi,bus_speed_dmi,l1_ins_assoc,l1_data_assoc,l2_assoc,l3_assoc,raw_bus_speed,converted_bus_speed,ddr_type,runtime
Intel Xeon E5-2699 v3,2.3,X86_64,32,1,256,92160,1,2133,256,PC4-2133P,36,36,ACTINA SOLAR 220 X6 (Intel Xeon E5-2699 v3- 2.30 GHz),9.6,5,8,8,8,20,9.6 QPI,38.4,4,45.666021
Intel Xeon E5-2699 v3,2.3,X86_64,32,1,256,92160,1,2400,256,PC4-2400P,36,36,ACTINA SOLAR 222 S6 (Intel Xeon E5-2699 v3- 2.30 GHz),9.6,5,8,8,8,20,9.6 QPI,38.4,4,44.927621
Intel Xeon E5-2637 v3,3.5,X86_64,32,1,256,30720,1,2133,256,PC4-2133P,8,8,ACTINA SOLAR 220 S6 (Intel Xeon E5-2637 v3- 3.50 GHz),9.6,5,8,8,8,20,9.6 QPI,38.4,4,48.279306
Intel Xeon E5-2650 v4,2.2,X86_64,32,1,256,61440,1,2400,256,PC4-2400T,24,24,ACTINA SOLAR 222 S6 (Intel Xeon E5-2650 v4- 2.20 GHz),9.6,,8,8,8,0,9.6 QPI,38.4,4,44.507609
Intel Xeon E5-2620 v4,2.1,X86_64,32,1,256,40960,1,2400,256,PC4-2400T,16,16,ACTINA SOLAR 210 X6 (Intel Xeon E5-2620 v4- 2.10 GHz),8,,8,8,8,20,8 QPI,32,4,50.305364
Intel Xeon E5-2630 v4,2.2,X86_64,32,1,256,51200,1,2400,256,PC4-2400T,20,20,ACTINA SOLAR 210 X6 (Intel Xeon E5-2630 v4- 2.20 GHz),8,,8,8,8,20,8 QPI,32,4,47.87083
Intel Xeon E5-2620 v4,2.1,X86_64,32,1,256,40960,1,2400,256,PC4-2400T,16,16,ACTINA SOLAR 220 X6 (Intel Xeon E5-2620 v4- 2.10 GHz),8,,8,8,8,20,8 QPI,32,4,49.954273
Intel Xeon E5-2630 v4,2.2,X86_64,32,1,256,51200,1,2400,256,PC4-2400T,20,20,ACTINA SOLAR 220 X6 (Intel Xeon E5-2630 v4- 2.20 GHz),8,,8,8,8,20,8 QPI,32,4,48.12235
Intel Xeon E5-2603 v4,1.7,X86_64,32,1,256,30720,1,2133,256,PC4-2133P,12,12,ACTINA SOLAR 210 X6 (Intel Xeon E5-2603 v4- 1.70 GHz),6.4,,8,8,8,20,6.4 QPI,25.6,4,63.878827
Intel Xeon E5-2650 v4,2.2,X86_64,32,1,256,61440,1,2400,256,PC4-2400T,24,24,ACTINA SOLAR 210 X6 (Intel Xeon E5-2650 v4- 2.20 GHz),9.6,,8,8,8,0,9.6 QPI,38.4,4,45.096158
